,State,Population
0,Andaman and Nikobar Islands,397000
1,Andhra Pradesh,52221000
2,Arunachal Pradesh,1504000
3,Assam,34293000
4,Bihar,119520000
5,Chandigarh,1179000
6,Chhattisgarh,28724000
7,Delhi,19814000
8,Dadra NHDD,959000
9,Goa,1540000
10,Gujarat,67936000
11,Himachal Pradesh,7300000
12,Haryana,28672000
13,Jharkhand,37403000
14,Jammu and Kashmir,13203000
15,Karnataka,65798000
16,Kerala,35125000
17,Ladakh,293000
18,Maharashtra,122153000
19,Meghalaya,3224000
20,Manipur,3103000
21,Madhya Pradesh,82232000
22,Mizoram,1192000
23,Nagaland,2150000
24,Odisha,43671000
25,Punjab,29859000
26,Puducherry,1504000
27,Rajasthan,77264000
28,Sikkim,664000
29,Telangana,37220000
30,Tamil Nadu,75695000
31,Tripura,3992000
32,India Total,1332900000
33,Uttar Pradesh,224979000
34,Uttarakhand,11141000
35,West Bengal,96906000
